#,data_center_projeto,link,estado,regiao,cidade,empresa,relevancia,fonte_lista
1,Equinix SP6,https://www.equinix.com/data-centers/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp6,SP,Sudeste,Santana de Parnaíba,Equinix,"Excelente caso de estudo por ser uma implantação recente. Entrou em operação em 2026, projetado para cargas de alta densidade de IA.",lista30
2,Equinix SP5x,https://www.equinix.com/br/pt/data-centers/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp5x,SP,Sudeste,Santana de Parnaíba,Equinix,Importante representante de infraestrutura hyperscale na região metropolitana de São Paulo.,lista30
3,Ascenty Vinhedo 1,https://ascenty.com/data-centers/localizacao/brasil/sao-paulo-interior/vinhedo/,SP,Sudeste,Vinhedo,Ascenty,Relevante por estar inserido em um grande campus de data centers em área industrial.,lista30
4,Ascenty Vinhedo 2,https://ascenty.com/data-centers/localizacao/brasil/sao-paulo-interior/vinhedo/,SP,Sudeste,Vinhedo,Ascenty,Complementa o caso de Vinhedo e permite estudar expansão de um campus.,lista30
5,Ascenty Campinas CPS1,https://www.datacentermap.com/brazil/campinas/,SP,Sudeste,Campinas,Ascenty,Campinas é um importante polo tecnológico e de conectividade.,lista30
6,Ascenty Hortolândia HTL6,https://www.datacentermap.com/brazil/campinas/,SP,Sudeste,Hortolândia,Ascenty,Interessante para avaliar a expansão da infraestrutura fora do núcleo da capital.,lista30
7,Scala Campinas SVCPCP01,https://scaladatacenters.com/data-centers/,SP,Sudeste,Campinas,Scala Data Centers,Caso relevante pela dimensão física do empreendimento; 12.015 m² de área construída e 7 MW.,lista30
8,TIP Brasil Campinas,https://setup.zeus.tipbrasil.com.br/portal-tip/artigo/tip-brasil-investe-r-500-milhoes-em-datacenter-tier-3-em-campinas,SP,Sudeste,Campinas,TIP Brasil,"R$500 milhões para aquisição, modernização e expansão do data center, capacidade prevista de até 2 mil racks.",lista30
9,Ascenty SPO06,https://ascenty.com/blog/news-ascenty/ascenty-campus-sao-paulo/,SP,Sudeste,Grande São Paulo,Ascenty,Representa expansão de capacidade de um campus existente.,lista30
10,Equinix RJ1,https://www.equinix.com/data-centers/americas-colocation/brazil-colocation/rio-de-janeiro-data-centers,RJ,Sudeste,Rio de Janeiro,Equinix,"Infraestrutura digital consolidada, referência histórica.",lista30
