#,data_center_projeto,estado,cidade,latitude,longitude,ano_construcao,ano_operacao,status_2026,periodo_pre,periodo_durante,periodo_pos,relevancia,fonte_lista
1,Ascenty Sumaré 1,SP,Sumaré,A validar,A validar,2017,2017,Operacional,2014-2016,2017,2018-2026,Excelente caso histórico para medir mudança territorial após implantação.,lista20
2,Ascenty Sumaré 2,SP,Sumaré,A validar,A validar,2019,2019,Operacional,2016-2018,2019,2020-2026,Permite estudar expansão do mesmo polo em relação ao Sumaré 1.,lista20
3,Ascenty Hortolândia 2,SP,Hortolândia,A validar,A validar,2018-2019,2019,Operacional,2015-2017,2018-2019,2020-2026,Bom caso de expansão de infraestrutura em polo industrial/tecnológico.,lista20
4,Ascenty Hortolândia 3,SP,Hortolândia,A validar,A validar,2018-2019,2019,Operacional,2015-2017,2018-2019,2020-2026,Complementa Hortolândia 2 e permite estudar efeito acumulado de um campus.,lista20
5,Ascenty Paulínia 1,SP,Paulínia,A validar,A validar,2019,2019,Operacional,2016-2018,2019,2020-2026,Interessante por estar inserido em importante polo industrial/petroquímico.,lista20
6,Ascenty Vinhedo 1,SP,Vinhedo,-23.0702,-47.0130,2019,2019,Operacional,2016-2018,2019,2020-2026,Caso prioritário: grande campus e excelente janela temporal pré/pós.,lista20
7,Ascenty Jundiaí 2,SP,Jundiaí,A validar,A validar,2019,2019,Operacional,2016-2018,2019,2020-2026,"Permite comparar Jundiaí com Vinhedo, Sumaré e Hortolândia.",lista20
8,Ascenty Vinhedo 2,SP,Vinhedo,-23.0702,-47.0130,2020,2020,Operacional,2017-2019,2020,2021-2026,Excelente para expansão: segundo grande empreendimento do campus.,lista20
9,Ascenty São Paulo 3,SP,Osasco,A validar,A validar,2020,2020,Operacional,2017-2019,2020,2021-2026,"Caso urbano, útil para comparar implantação em área metropolitana mais densa.",lista20
10,Equinix SP5x,SP,Santana de Parnaíba,A validar,A validar,2020-2021,2021,Operacional,2017-2019,2020-2021,2022-2026,Muito importante: infraestrutura hyperscale e expansão de grande escala.,lista20
11,Ascenty Hortolândia 4,SP,Hortolândia,A validar,A validar,2020-2021,2021,Operacional,2018-2020,2020-2021,2022-2026,Permite avaliar expansão contínua do campus ao longo da série temporal.,lista20
12,Ascenty Hortolândia 5,SP,Hortolândia,A validar,A validar,2021-2022,2022,Operacional,2019-2021,2021-2022,2023-2026,"Muito bom caso temporal, pois amplia fortemente a capacidade do campus.",lista20
13,Ascenty São Paulo 4,SP,Osasco,A validar,A validar,2022,2023,Operacional,2019-2021,2022-2023,2024-2026,Excelente caso pré/durante/pós. Construção iniciada em 2022 e operação em 2023. (https://ascenty.com/data-centers/localizacao/brasil/sao-paulo-capital/sao-paulo-4/),lista20
14,Scala Campus Tamboré,SP,Barueri,A validar,A validar,2022-2024*,2023+*,Operacional / expansão,2019-2021,2022-2024,2025-2026,"Muito relevante: grande campus com expansão sucessiva. Há unidades Scala identificadas no endereço da Av. Ceci; por isso, o campus deve ser tratado como área de análise. (https://www.gbcbrasil.org.br/certificacao/certificacao-leed/empreendimentos/)",lista20
15,Scala SGIGSM01,RJ,São João de Meriti,-22.7999,-43.3538,2022-2023*,2023*,Operacional,2019-2021,2022-2023,2024-2026,Excelente caso para levar o estudo para fora de SP. A instalação está georreferenciada em fonte de infraestrutura de Internet. (PeeringDB: https://www.peeringdb.com/fac/13398),lista20
16,Scala SPOAPA01,RS,Porto Alegre,-30.0028,-51.1981,2023,2023,Operacional,2020-2022,2023,2024-2026,Importante para representatividade regional e comparação Sul x Sudeste. (PeeringDB: https://www.peeringdb.com/fac/14336),lista20
17,Equinix RJ3,RJ,São João de Meriti,A validar,A validar,2024-2025*,2025*,Operacional / recente,2021-2023,2024-2025,2026,"Excelente caso recente. Foi anunciado em maio de 2024, com início de operação previsto para 2025. (https://equinix.mediaroom.com/2024-05-23-Com-investimento-de-US-94-milhoes)",lista20
18,RT-One Uberlândia,MG,Uberlândia,A validar,A validar,2025-2026*,Não iniciada,Em implantação / licenciamento,2022-2024,2025-2026,2027+,Caso estratégico: terreno >1 milhão m² e projeto de até 400 MW. Excelente para acompanhar a transformação enquanto ocorre. (https://www.uberlandia.mg.gov.br/2025/09/24/...),lista20
19,Data Center ByteDance / Pecém,CE,São Gonçalo do Amarante,A validar,A validar,2026,Não iniciada,Em construção,2023-2025,2026,2027+,"Um dos melhores casos: implantação recente e grande escala, permitindo observar transformação territorial durante a construção.",lista20
20,Scala AI City,RS,Eldorado do Sul,A validar,A validar,2026+*,Não iniciada,Projeto / implantação,2023-2025,2026+,Pós ainda não disponível,Caso estratégico para estudo de grandes campi de IA e transformação territorial futura.,lista20
